เลขทะเบียน,ชื่อเรื่อง,รหัสหนังสือ,ตู้เก็บ,หมายเหตุ,,ชื่อผู้แต่ง,ประเภท
001316,กฏมณเฑียรบาล ฉบับเฉลิมพระเกียรติ ผลงานวิจัย ,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ศจ.ดร.ปิยะวัฒน์ บุญ - หลง,
001317,"""ความขัดแย้ง ความชอบธรรม และการปฎิรูประบบรัฐ : การจัดสรรผลประโยชน์ที่เป็นธรรมในสังคมไทย""",303.6,ชั้น 2,การประชุมวิชาการสถาบันพระปกเกล้า ครั้งที่ 11 2554,,สถาบันพระปกเกล้า,
001318,งานวิจัย ภาษาของจิตรกรรมไทย การศึกษารหัสของภาพ และความหมายทางสังคมวัฒนธรรมของจิตรกรรมพุทธศาสนาต้นรัตนโกสินทร์,,ชั้น 2,สถาบันไทยคดีศึกษา มหาวิทยาลัยธรรมศาสตร์,,ปริตตา เฉลิมเผ่า กออนันตกูล,
001319,การวิจัย เรื่อง วิกฤตทางวัฒนธรรมกับการดำรงชีวิตของเยาวสตรี : ศึกษาผลกระทบของการพัฒนาชนบทภาคเหนือ (กรณีการปรับเปลี่ยนค่านิยมของชุมชน),,ชั้น 2,สำนักงานคณะกรรมการวัฒนธรรมแห่งชาติ (สวช.),,จิราลักษณ์ จงสถิตมั่น,
001320,งานวิจัย เรื่อง ความเชื่อทางศาสนาของชาวกะเหรี่ยง : กรณีศึกษาวันปีใหม่กะเหรี่ยง ที่วัดแจ้งเจริญ อำเภอวัดเพลง จังหวัดราชบุรี,,ชั้น 2,สำนักงานคณะกรรมการวัฒนธรรมแห่งชาติ (สวช.),,สุรินทร์ เหลือลมัย,
001321,เอกสารประกอบนิทรรศการ ประวัติศาสตร์ท้องถิ่น ที่ ศาลามโหสถ อ.ศรีมโหสถ จังหวัดปราจีนบุรี (ศาลาแบ่งปัน),,ชั้น 2,ศาลามโหสถ จังหวัดปราจีนบุรี,,สุจิตต์ วงษ์เทศ,
001322,เอกสารประกอบการสัมมนา เรื่อง ประวัติศาสตร์ไทยบนเส้นทางการเปลี่ยแปลง : การประมวลความรู้เพื่อการพัฒนาการวิจัยประวัติศาสตร์ไทย,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อาจารย์ฉลอง สุนทราวาณิชย์ และคณะ,
001323,"โครงการวิจัย เรื่อง ""คนจีนกับการขยายตัวของเมืองบริเวณลุ่มน้ำชี""",,ชั้น 2,มหาวิทยาลัยมหาสารคาม,,นารีรัตน์ ปริสุทธิวุฒิพร,
001324,"โครงการวิจัย เรื่อง ""วิวัฒนาการและการเปลี่ยนแปลงของพื้นที่ภายในท้องถิ่น ริมฝั่งลุ่มน้ำชี""",,ชั้น 2,มหาวิทยาลัยมหาสารคาม,,สักรินทร์ ภู่ และคณะ,
001325,รายงานการวิจัย เรื่อง โครงการเศรษฐกิจที่ไม่เป็นทางการในลุ่มน้ำชี,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ดร.ชินสัคค สุวรรณอัจฉริย,
001326,รายงานการวิจัย เรื่อง โครงการวิจัยประวัติศาสตร์การต่อสู้เพื่อการเข้าถึงทรัพยากรของคนเมืองน่าน,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ดร.ชูศักดิ์วิทยาภัค และคณะ,
001327,รายงานการวิจัย เรื่อง การศึกษาสถานที่สำคัญในท้องถิ่นลุ่มน้ำชี โดยกระบวนการเรียนรู้ร่วมกัน,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ธัญญา สังขพันธานนท์ และคณะ,
001328,"รายงานการวิจัย เรื่อง โครงการ ""รูปแบบการใช้ประโยชน์จากทรัพยากรธรรมชาติ ของชุมชนลุ่มน้ำชี""",,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ไพบูลย์ บุญไชย และคณะ,
001329,รายงานการวิจัย เรื่อง ความหลากหลายทางชีวภาพกับชุมชท้องถิ่นลุ่มน้ำชี,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ศูภชัย สมัปปิโต และคณะ,
001330,รายงานการวิจัย เรื่อง การขยายตัวของชุมชนเมืองลุ่มน้ำชี,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,ถนอม ตะนา และคณะ,
001331,"รายงานการวิจัย เรื่อง โครงการ ""ของหน้าหมู่"" : ประวัติศาสตร์ตัวตนของชุมชนกลางหุบเขาแม่แจ่ม",,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,สันติพงษ์ ช้างเผือก และคณะ,
001332,รายงานการวิจัย เรื่อง โครงการ วัฒนธรรมปลาและอาชีพประมงในชุมชนลุ่มแม่น้ำชี,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,วรพล เองวานิช และคณะ,
001333,รายงานการวิจัย เรื่อง ประวัติศาสตร์ท้องถิ่นการจัดการทรัพยากรส่วนรวมของชุมชน บริเวณลุ่มน้ำลาง - น้ำของ อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อารยะ ภูสาหัส และคณะ,
001334,รายงานการวิจัย เรื่อง โครงการวิจัย ประวัติศาสตร์ท้องถิ่นภาคกลาง ...เมื่อกะเหรี่ยงสวนผึ้งลุกขึ้นพูด.....,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,วุฒิ บุญเลิศ และคณะ,
001335,โครงการประวัติศาสตร์ท้องถิ่นภาคเหนือ : ประวัติศาสตร์เพื่อชุมชน,,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,รศ.ดร.จิราภรณ์ สถาปนะวรรธนะ,
001336,พุทธศาสนาในเมืองไทย  ที่เต็มไปด้วยขวากหนาม,294.3,ชั้น 2,บริษัท ส่องศยาม จำกัด จัดพิมพ์,,ส.ศิวรักษ์,
001337,หนังสือทำเนียบวัดแห่งประเทศไทย รวม 72 จังหวัด (ฉบับพิเศษ โดยเสด็จพระราชกุกศล For Royal Charity) {Directory of all Monasteries in Thailand},294.365,ชั้น 2,วัชรินทร์การพิมพ์ จัดพิมพ์,,วรัญชัย โภคัยคหบดี,
001338,ฟื้นชีวิตคืนจิตวิญญาณ ทวารวดี {Enliven the Spirit of Dvaravali},294.309,ชั้น 2,วิทยาลัยสงฆ์พุทธปัญญาศรีทวารวดี,,ดร.พระถนัด วฑฺฒโน และคณะ,
001339,อมตะพระกรุ วัดราชบูรณะ อยุธยา พระกรุที่ยิ่งใหญ่ที่สุดแห่งแผ่นดินสยาม,394.335,ชั้น 2,สำนักพิมพ์คเณศ์พร จัดพิมพ์,,คเณศ์พร,
001340,ตรีมูรติ อภิมหาเทพของฮินดู,294.513,ชั้น 2,สำนักพิมพ์เมืองโบราณ,,อรุณศักดิ์ กิ่งมณี,
001341,วัดพระเชตุพน มัชฌิมประเทศอันวิเศษในชมพูทวีป,294.3,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,วัชรี วัชรสินธุ์,
001342,ตำนานพระพุทธรูปสำคัญ ,294.3351,ชั้น 2,มูลนิธิ สมเด็จฯ กรมพระยาดำรงราชานุภาพ,,สมเด็จฯ กรมพระยาดำรงราชานุภาพ,
001343,วัดใหม่ประชุมพล อำเภอนครหลวง จังหวัดพระนครศรีอยุธยา,294.3,ชั้น 2,สำนักศิลปากรที่ 3 พระนครศรีอยุธยา,,ภัทรพงษ์ เก่าเงิน,
001344,วัดร้างในเมืองอยุธยา {The Deserted Temple in Ayutthaya},294.3,ชั้น 2,ศูนย์การศึกษานานาชาติ มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,,Ken May (เคน เมย์),
001345,หลวงพ่ออุตตมะ หลวงพ่อใหญ่ของชาวมอญ (ผู้นำทางวัฒนธรรมกับการธำรงชาติพันธ์ของชุมชนมอญพลัดถิ่นสังขละบุรี),294.363,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,อรวรรณ ทับสกุล,
001346,"""ประเพณีสร้างสรรค์"" ในสังคมไทยร่วมสมัย (ชุดสังคม : วัฒนธรรมร่วมสมัย ลำดับที่ 1)",390.9593,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ศิราพร ณ ถลาง,
001347,เรื่องเล่าพื้นบ้านไทย ในโลกที่เปลี่ยนแปลง  (ชุดสังคม : วัฒนธรรมร่วมสมัย ลำดับที่ 2),306.09593,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ศิราพร ณ ถลาง,
001348,ตำรารำ,792.8,ชั้น 2,กองวรรณกรรมและประวัติศาสตร์ กรมศิลปากร,,ผกาวรรณ เดชเทวพร,
001349,หอพระสมุดวชิรญาณสำหรับพระนคร (เฉลิมพระเกียรติเนื่องในมหามงคลสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว เสด็จประพาสยุโรป ครบ 100 ปี พ.ศ.2540),27.5593,ชั้น 2,กรมศิลปากร จัดพิมพ์,,ศจ.คุณหญิงแม้นมาส ชวลิต และคณะ,
001350,กรุงเทพฯ 2488 - 2539 (หนังสือภาพถ่ายทางอากาศ),915.93,ชั้น 2,กรมศิลปากร จัดพิมพ์,,สมคิด โชติกวณิชย์,
001351,เมื่อตะวันออกพบตะวันตก : พิพิธสมบัติพระราชา ณ วังหน้า,923.1595,ชั้น 2,กรมศิลปากร จัดพิมพ์,,จารุณี อินเฉิดฉาย และคณะ,
001352,แลหลัง.....เมืองตรัง,959.31,ชั้น 2,กรมศิลปากร จัดพิมพ์,,สุนทรี สังข์อยุทธิ์,
001353,ประเพณีสิบสองเดือน จังหวัดลำปาง,392,ชั้น 2,สภาวัฒนธรรมจังหวัดลำปาง,,สำนักงานวัฒนธรรมจังหวัดลำปาง,
001354,พิพิธภัณฑสถานแห่งชาติประจำเมืองกำแพงเพชร (โครงการเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดช เนื่องในพระราชพิธีกาญจนาภิเษก ครบ 50 ปี),708.9,ชั้น 2,กองงานในพระองค์สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,,ท่านผู้หญิงมนัสนิตย์ วณิกกุล,
001355,Legend in the Weaving,667.6,ชั้น 2,The Japan Foundation Asia Center (ส.ป.ป. ลาว) 2001,,Somsanu,
001356,จากนานามาลยรัฐ สู่มาเลเซียและสิงคโปร์ ในปัจจุบัน,959.5,ชั้น 2,กรมศิลปากร จัดพิมพ์,,เสาวลักษณ์ กีชานนท์ และคณะ,
001357,ความสัมพันธ์ อิหร่าน - ไทย ทางด้านประวัติศาสตร์และวัฒนธรรม {Iran - Thai Historical and Cultural Relationships},341.76,ชั้น 2,ศูนย์วัฒนธรรมสถานเอกอัครราชฑูตสาธารณรัฐอิสลามแห่งอิหร่าน,,ดร.กิติมา อมรทัต ,
001358,เอกสารทางวิชาการ : สมบัติอีสานใต้,390.11,ชั้น 2,วิทยาลัยครูบุรีรัมย์,,บัณฑิต วงษ์แก้ว,
001359,ไขภาษิตโบราณอีสาน,417,ชั้น 2,โรงพิมพ์ศิริธรรม จัดพิมพ์,,ปรีชา พิณทอง,
001360,วรรณกรรมไทย คำกาพย์ เรื่อง มหาภารตยุทธ,895.5,ชั้น 2,มูลนิธิธนาคารกรุงเทพ พิมพ์เพื่อบำรุงและส่งเสริมวรรณกรรมไทย,,สุภร ผลชีวิน,
001361,รวมบทกวี .....ทาง.....,895.911,ชั้น 2,สำนักพิมพ์แม่คำผาง (ในเครือบริษัท ชนนิยม จำกัด),,ปรีดา ข้าวบ่อ,
001362,จินดามณี ฉบับความแปลก / ฉบับพระเจ้าบรมโกศ / ฉบับจุลศักราช 1144 (2558),495.918,ชั้น 2,สำนักวรรณกรรมและประวัติศาสตร์ กระทรวงวัฒนธรรม กรมศิลปากร ,,บุญเตือน ศรีวรพจน์,
001363,นิทานคำกลอนสุนทรภู่ เรื่อง ลักษณวงศ์,895.9112,ชั้น 2,สำนักวรรณกรรมและประวัติศาสตร์ กระทรวงวัฒนธรรม กรมศิลปากร ,,พันธุ์อร จงประสิทธิ์,
001364,อำนาจ พื้นที่ และอัตลักษณ์ทางชาติพันธุ์ : การเมือง วัฒนธรรมของรัฐชาติในสังคมไทย (2),320,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ยศ สันตสมบัติ,
001365,นิราศพระปรางค์ วัดทองล้น อยู่เหนือ / วัดทองเหลือ อยู่ใต้ / วัดใน (วัดทุ่งยั้ง) อยู่ตะวันตก,91,ชั้น 2,เจ้าอาวาสวัดพระยืนพุทธบาทยุคล จังหวัดอุตรดิตถ์,,พระอาจารย์ทองคำ ศรีรอด,
001366,หนังสือชุดดนตรีไทย : เพลงลูกกรุง,781.4,ชั้น 2,สำนักงานอุทยานการเรียนรู้,,ไพบูลย์ สำราญภูติ,
001367,หนังสือชุดดนตรีไทย : เพลงพื้นบ้าน,781.4,ชั้น 2,สำนักงานอุทยานการเรียนรู้,,อเนก นาวิกมูล และคณะ,
001368,หนังสือชุดดนตรีไทย : เพลงลูกทุ่ง,781.41,ชั้น 2,สำนักงานอุทยานการเรียนรู้,,เจนภพ จบกระบวนวรรณ,
001369,หนังสือชุดดนตรีไทย : ดนตรีไทยเดิม,781,ชั้น 2,สำนักงานอุทยานการเรียนรู้,,อานันท์ นาคคง,
001370,หนังสือชุดดนตรีไทย : เครื่องดนตรีไทย,784.19593,ชั้น 2,สำนักงานอุทยานการเรียนรู้,,อัษฏาวุธ สาคริก,
001371,บทดอกสร้อยสวรรค์ ครั้งกรุงเก่า,895.9602,ชั้น 2,สำนักวรรณกรรมและประวัติศาสตร์ กระทรวงวัฒนธรรม กรมศิลปากร ,,บุญเตือน ศรีวรพจน์,
001372,กวีนิพนธ์ มนุษยานุภาพ ,128,ชั้น 2,บริษัท ภาพพิมพ์ จำกัด (โดย วรา จันทร์มณี),,วรา จันทร์มณี,
001373,รายงานและสรุปภาพรวมสำหรับผู้บริหาร (โครงการศึกษาแนวทางพัฒนาและฟิ้นฟูที่อยู่อาศัยที่ส่งเสริมเอกลักษณ์ของเมือง),653.8,ชั้น 2,มหาวิทยาลัยมหาสารคาม,,คณะผู้วิจัย,
001374,ตำราภูมิปัญญา การผลิตพริกไทยในจันทบุรี จำนวน 2 เล่ม,615,ชั้น 2,กรมส่งเสริมการเกษตร,,เฉลิมชล ช่างถม,
001375,10 ชุมชนท่องเที่ยวเชิงวัฒนธรรม ปี 2559 {Cultural TourismCommunities} CTC 2016,915.94,ชั้น 2,กรมส่งเสริมวัฒนธรรม,,พิมพ์รวี วัฒนวรางกูล,
001376,ที่ระลึกงานทำบุญฉลอง 100 ปี วัดจันเสน ต.จันเสน อ.ตาคลี จ.นครสวรรค์ 19 - 21 เมษายน 2551,91,ชั้น 2,เจ้าอาวาสวัดจันเสน จัดพิมพ์,,พระครูนิวิฐธรรมขันธ์,
001377,ยอดอาหารอร่อย ย่อยอาหารเอร็ด เล่ม 1,641.5,ชั้น 2,บริษัท ซีนิท เซ็นทรัล จำกัด (โดย พันธุ์เทพ อรรถไกวัลวที),,พันธุ์เทพ อรรถไกวัลวที,
001378,อาหาร ที่เกี่ยวกับความเชื่อและพิธีกรรมที่เกี่ยวเนื่อง,394.12,ชั้น 2,กรมศิลปากร จัดพิมพ์,,ฉวีงาม มาเจริญ และคณะ,
001379,ฮูปแต้ม ในสิมอีสาน งานศิลป์สองฝั่งโขง (ของกินบ่กินมันเน่า ของเก่าบ่เล่ามันลืม),930.1,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุมาลี เอกชนนิยม,
001380,จักรวาลวิทยา : บทความเพื่อเป็นเกียรติแก่ นิธิ เอียวศรีวงศ์,808.54,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ธเนศ วงศ์ยานนาวา,
001381,ปราสาทขอม ในดินแดนไทย ความเป็นมาและข้อมูลด้านประวัติศาสตร์ศิลปะ,959.6,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,รุ่งโรจน์ ธรรมรุ่งเรือง,
001382,งานช่าง สมัยพระนั่งเกล้าฯ (ทูลเรื่องอื่นมิได้ชื่นเหมือนเรื่องวัด เวียนแต่ตรัสถามได้ให้ไฝ่ฝัน.....),745.5,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ศักดิ์ชาย สายสิงห์,
